,设备号,入库时间,省,市,区,经度,纬度,程序解析详细地址
1,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
2,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
3,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
4,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
5,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
6,014304A0140128,2016-10-1 8:19,江西,上饶,上饶市区,117.950048,28.452568,江西省上饶市信州区信州区北门乡民主村民委员会
7,014304A0140128,2016-10-1 8:20,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
8,014304A0140128,2016-10-1 8:20,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
9,014304A0140128,2016-10-1 8:22,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
10,014304A0140128,2016-10-1 8:24,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
11,014304A0140128,2016-10-1 8:24,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
12,014304A0140128,2016-10-1 8:26,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
13,014304A0140128,2016-10-1 8:30,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
14,014304A0140128,2016-10-1 8:34,江西,上饶,上饶市区,117.949872,28.452627,江西省上饶市信州区信州区北门乡民主村民委员会
